county,id,yes1,no1,yes5,no5,yes7,no7,yes8,no8,yes9,no9
Adair,001,,,,,,,,,,
Andrew,003,,,,,,,,,,
Atchison,005,,,,,,,,,,
Audrain,007,,,,,,,,,,
Barry,009,,,,,,,,,,
Barton,011,,,,,,,,,,
Bates,013,,,,,,,,,,
Benton,015,,,,,,,,,,
Bollinger,017,,,,,,,,,,
Boone,019,460,814,516,762,632,648,434,826,922,330
Buchanan,021,,,,,,,,,,
Butler,023,"3,962","2,840","5,264","1,421","2,812","3,987","3,497","3,096","5,337","1,265"
Caldwell,025,256,104,282,74,170,190,179,170,293,58
Callaway,027,854,896,"1,184",539,865,881,887,834,"1,320",389
Camden,029,,,,,,,,,,
Cape Girardeau,031,,,,,,,,,,
Carroll,033,,,,,,,,,,
Carter,035,,,,,,,,,,
Cass,037,,,,,,,,,,
Cedar,039,,,,,,,,,,
Chariton,041,,,,,,,,,,
Christian,043,386,261,468,179,317,332,317,324,523,115
Clark,045,,,,,,,,,,
Clay,047,"4,138","4,447","5,118","3,452","3,705","4,919","4,003","4,537","6,631","1,931"
Clinton,049,,,,,,,,,,
Cole,051,"2,402","1,939","2,619","1,687","2,160","2,214","2,047","2,266","3,194","1,102"
Cooper,053,,,,,,,,,,
Crawford,055,,,,,,,,,,
Dade,057,,,,,,,,,,
Dallas,059,,,,,,,,,,
Daviess,061,,,,,,,,,,
De Kalb,063,,,,,,,,,,
Dent,065,,,,,,,,,,
Douglas,067,,,,,,,,,,
Dunklin,069,,,,,,,,,,
Franklin,071,483,272,502,254,376,395,384,372,618,139
Gasconade,073,,,,,,,,,,
Gentry,075,,,,,,,,,,
Greene,077,,,,,,,,,,
Grundy,079,,,,,,,,,,
Harrison,081,,,,,,,,,,
Henry,083,,,,,,,,,,
Hickory,085,,,,,,,,,,
Holt,087,,,,,,,,,,
Howard,089,,,,,,,,,,
Howell,091,311,284,420,170,207,390,236,354,452,135
Iron,093,,,,,,,,,,
Jackson,095,,,,,,,,,,
Jasper,097,,,,,,,,,,
Jefferson,099,,,,,,,,,,
Johnson,101,,,,,,,,,,
Knox,103,,,,,,,,,,
Laclede,105,"4,644","1,963","5,357","1,163","2,825","3,741","2,961","3,518","5,353","1,095"
Lafayette,107,,,,,,,,,,
Lawrence,109,,,,,,,,,,
Lewis,111,,,,,,,,,,
Lincoln,113,,,,,,,,,,
Linn,115,,,,,,,,,,
Livingston,117,,,,,,,,,,
Macon,121,,,,,,,,,,
Madison,123,,,,,,,,,,
Maries,125,,,,,,,,,,
Marion,127,,,,,,,,,,
McDonald,119,,,,,,,,,,
Mercer,129,,,,,,,,,,
Miller,131,,,,,,,,,,
Mississippi,133,,,,,,,,,,
Moniteau,135,"2,470",866,"2,496",700,"1,594","1,713","1,546","1,628","2,481",675
Monroe,137,348,183,384,131,305,220,288,216,394,109
Montgomery,139,,,,,,,,,,
Morgan,141,,,,,,,,,,
New Madrid,143,,,,,,,,,,
Newton,145,,,,,,,,,,
Nodaway,147,,,,,,,,,,
Oregon,149,,,,,,,,,,
Osage,151,,,,,,,,,,
Ozark,153,,,,,,,,,,
Pemiscot,155,,,,,,,,,,
Perry,157,"1,768",646,"1,687",610,941,"1,445","1,280","1,038","1,831",461
Pettis,159,,,,,,,,,,
Phelps,161,,,,,,,,,,
Pike,163,,,,,,,,,,
Platte,165,,,,,,,,,,
Polk,167,,,,,,,,,,
Pulaski,169,,,,,,,,,,
Putnam,171,,,,,,,,,,
Ralls,173,,,,,,,,,,
Randolph,175,,,,,,,,,,
Ray,177,,,,,,,,,,
Reynolds,179,,,,,,,,,,
Ripley,181,,,,,,,,,,
Saline,195,,,,,,,,,,
Schuyler,197,,,,,,,,,,
Scotland,199,,,,,,,,,,
Scott,201,,,,,,,,,,
Shannon,203,,,,,,,,,,
Shelby,205,315,96,298,102,223,178,166,228,298,92
St. Charles,183,"1,510","1,441","1,863","1,065","1,083","1,885","1,384","1,524","2,200",701
St. Clair,185,120,44,116,45,88,74,79,81,128,33
St. Francois,187,,,,,,,,,,
St. Louis County,189,"6,018","6,307","5,498","7,025","5,464","7,306","5,553","6,637","9,080","3,089"
St. Louis City,510,,,,,,,,,,
Ste. Genevieve,186,,,,,,,,,,
Stoddard,207,,,,,,,,,,
Stone,209,,,,,,,,,,
Sullivan,211,,,,,,,,,,
Taney,213,,,,,,,,,,
Texas,215,210,91,239,62,135,171,148,156,241,60
Vernon,217,,,,,,,,,,
Warren,219,,,,,,,,,,
Washington,221,,,,,,,,,,
Wayne,223,,,,,,,,,,
Webster,225,339,121,348,110,247,218,216,233,361,82
Worth,227,,,,,,,,,,
Wright,229,,,,,,,,,,
