county,condition,count
Adair,serious,2
Adair,poor,10
Andrew,serious,1
Andrew,poor,4
Atchison,serious,2
Atchison,poor,7
Audrain,serious,3
Audrain,poor,2
Barry,serious,1
Barry,poor,2
Barton,poor,2
Bates,serious,7
Bates,poor,2
Benton,poor,2
Bollinger,serious,1
Bollinger,poor,3
Boone,serious,4
Boone,poor,3
Buchanan,serious,2
Buchanan,poor,6
Butler,poor,2
Caldwell,serious,1
Caldwell,poor,1
Callaway,serious,1
Callaway,poor,3
Camden,serious,4
Camden,poor,6
Cape Girardeau,serious,1
Cape Girardeau,poor,7
Carroll,poor,7
Cass,serious,1
Cass,poor,3
Cedar,poor,4
Chariton,serious,2
Chariton,poor,7
Christian,serious,1
Clark,serious,2
Clay,serious,1
Clay,poor,9
Clinton,serious,3
Clinton,poor,4
Cole,poor,1
Cooper,serious,4
Cooper,poor,4
Crawford,poor,3
Dade,poor,5
Dallas,poor,2
Daviess,serious,6
Daviess,poor,1
Dekalb,serious,4
Dekalb,poor,3
Dent,poor,3
Douglas,serious,2
Douglas,poor,2
Dunklin,serious,1
Dunklin,poor,1
Franklin,poor,4
Gasconade,serious,1
Gasconade,poor,3
Gentry,serious,5
Gentry,poor,5
Greene,serious,1
Greene,poor,4
Grundy,poor,3
Harrison,serious,5
Harrison,poor,4
Henry,poor,2
Hickory,poor,1
Holt,serious,5
Holt,poor,9
Howard,poor,5
Iron,poor,2
Jackson,serious,14
Jackson,poor,16
Jasper,serious,2
Jasper,poor,9
Johnson,serious,2
Johnson,poor,2
Knox,serious,1
Knox,poor,1
Laclede,serious,1
Laclede,poor,1
Lafayette,serious,2
Lafayette,poor,5
Lawrence,serious,4
Lawrence,poor,3
Lewis,serious,5
Lewis,poor,1
Lincoln,serious,4
Lincoln,poor,2
Linn,poor,4
Livingston,poor,2
Macon,serious,2
Macon,poor,6
Madison,poor,1
Maries,serious,1
Maries,poor,1
Marion,serious,2
Marion,poor,1
Mcdonald,poor,3
Mercer,serious,2
Mercer,poor,6
Miller,poor,4
Mississippi,serious,2
Mississippi,poor,2
Moniteau,poor,5
Monroe,serious,3
Montgomery,serious,4
Montgomery,poor,4
Morgan,serious,1
Morgan,poor,2
New Madrid,poor,10
Newton,serious,2
Nodaway,serious,5
Nodaway,poor,12
Oregon,poor,2
Osage,poor,2
Ozark,serious,2
Pemiscot,poor,8
Perry,poor,2
Pettis,serious,7
Pettis,poor,3
Phelps,poor,3
Pike,serious,8
Pike,poor,5
Platte,serious,1
Platte,poor,6
Polk,serious,1
Polk,poor,2
Pulaski,poor,1
Putnam,serious,4
Putnam,poor,4
Ralls,serious,1
Ralls,poor,2
Randolph,serious,1
Randolph,poor,1
Ray,poor,2
Reynolds,poor,1
Saline,serious,4
Saline,poor,9
Schuyler,serious,4
Schuyler,poor,6
Scotland,serious,6
Scott,serious,2
Scott,poor,5
Shannon,poor,1
Shelby,serious,4
Shelby,poor,2
St. Charles,serious,1
St. Charles,poor,1
St. Louis County,poor,5
St. Louis,serious,5
St. Louis,poor,8
Stoddard,serious,2
Stoddard,poor,12
Stone,serious,2
Stone,poor,2
Sullivan,serious,7
Sullivan,poor,8
Taney,serious,3
Vernon,serious,2
Vernon,poor,2
Warren,serious,2
Warren,poor,2
Washington,poor,4
Wayne,serious,2
Wayne,poor,4
Webster,poor,2
Worth,serious,1
Worth,poor,2
Wright,serious,1
