name,All,White,Black,Hispanic,Asian,American Indian
National,20,19,22,21,14,29
Alabama,21,21,22,18,,
Alaska,,,,,,
Arizona,23,20,23,26,17,34
Arkansas,24,24,26,24,19,
California,19,19,22,20,12,
Colorado,21,19,32,25,21,
Connecticut,20,17,26,27,14,
Delaware,20,20,22,21,8,
District of Columbia,28,18,30,26,,
Florida,19,19,17,19,13,
Georgia,18,17,19,18,10,
Hawaii,23,19,20,21,24,
Idaho,20,19,,22,,
Illinois,19,17,23,21,14,
Indiana,19,19,23,18,,
Iowa,19,17,25,24,19,
Kansas,20,19,26,23,15,
Kentucky,20,20,20,13,16,
Louisiana,22,21,22,25,,
Maine,21,21,18,,,
Maryland,20,18,21,22,11,
Massachusetts,17,16,18,24,11,
Michigan,23,21,32,28,16,
Minnesota,19,17,26,24,18,
Mississippi,21,22,21,25,,
Missouri,20,18,24,22,18,
Montana,24,23,,26,,33
Nebraska,19,18,24,22,15,
Nevada,21,20,24,21,15,
New Hampshire,18,18,,27,12,
New Jersey,21,19,25,26,14,
New Mexico,25,23,31,25,,31
New York,21,18,27,28,13,
North Carolina,21,20,23,23,15,30
North Dakota,18,17,17,21,,27
Ohio,19,18,25,25,,
Oklahoma,23,22,24,22,15,26
Oregon,22,22,24,24,20,
Pennsylvania,20,18,27,25,14,
Rhode Island,22,19,23,29,17,
South Carolina,21,20,22,22,,
South Dakota,18,16,20,22,,27
Tennessee,21,21,22,23,8,
Texas,17,17,15,17,14,
Utah,22,21,,24,19,
Vermont,22,22,,,,
Virginia,19,18,22,21,12,
Washington,21,20,23,24,15,
West Virginia,23,24,22,,,
Wisconsin,19,18,28,22,16,
Wyoming,25,24,,25,,32
DoDEA,19,19,20,21,18,
